0363100012181906;Montelbaanstoren
0363100012182894;St.Nicolaaskerk
0363100012182907;Rembrandthuis
0363100012182908;Café de Sluyswacht
0363100012182911;Pintohuis
0363100012183062;Centrum van ouderen Flesseman
0363100012185424;Prinsengrachtziekenhuis
0363100012185508;Victoria Hotel
0363100012185768;Het nieuwe Suykerhofje
0363100012185920;De Krijtberg
0363100012186092;Stopera
0363100012186093;Woonzorgcentrum Sint Jacob
0363100012186096;Nieuwmarkt
0363100012186196;Admiraliteitsgebouw
0363100012199601;Tuinhuis
0363100012233585;De Stenen Silo 'Korthals Altes'
0363100012233595;Byzantium
0363100012236811;Byzantium
0363100012237135;Asscher
0363100012237143;De Betonnen Silo
0363100012237298;Het Rijksmuseum
0363100012237408;Oosterdokseiland Kavel 3
0363100012237413;Oosterdokseiland Kavel 2
0363100012237838;Filmmuseum Amsterdam
0363100012238837;Willem Barendsz
0363100012238838;Zee-arend
0363100012238840;De Zeven Provinciën
0363100012238841;Europa
0363100012238842;De Halve Maen
0363100012238844;De Oranje
0363100012238845;De Prinsendam
0363100012238896;De Gelria
0363100012239144;Parkeergarage
0363100012239207;Parkeergarage
0363100012239262;Parkeergarage
0363100012239378;Linde
0363100012239380;Plataan
0363100012239381;Hazelaar
0363100012239398;Fletcher Hotel
0363100012239479;Het Keijzerhuis
0363100012239980;Brandaris
0363100012239981;Bornrif
0363100012239984;Noordertoren
0363100012240075;Station Europaplein
0363100012240915;Bonte Zwaan
0363100012242874;Ravel Residence
0363100012242963;Oostpoort Oost
0363100012243143;Weerklank  -centrum voor  jong auditief gehandicatoen
0363100012243265;Braspenning
0363100012243487;Spinoza Hotel
0363100012243495;Tabak II
0363100012244404;Brandweerkazerne Anton
0363100012244421;Kop in de Wind
0363100012244597;Jet Mill Gebouw
0363100012244844;Parkeergarage Albert Cuyp
0363100012246189;Stallingsgarage PwC Riekrpolder
0363100012246233;Raadhuishotel Amsterdam
0363100012247112;NoMa House
0363100012247683;Leo Polakhuis
0363100012249434;Parkeer garage Ravel
0363100012249439;Brouwerij "De 7 Deugden"
0363100012249474;NZL - De Werf
0363100012250045;The Valley
0363100012250970;Cactus
0363100012250971;Peper
0363100012250972;Zout
0363100012250977;Huis van Wijk
0363100012250980;Prinsenhof
0363100012250981;Prinsenhof
0363100012250982;Prinsenhof
0363100012250983;The Grand
0363100012250984;Marathontoren
0363100012251206;kavel 20
0363100012251207;kavel 20
0363100012251208;kavel 18
0363100012251209;kavel 18
0363100012251210;kavel 17
0363100012251211;kavel 17
