1001730;1156;KW;20081217;
1002670;3104;KW;20040630;
1006499;6257;GG;20140113;
1004473;4678;KW;20110315;
1006963;6660;KW;20101022;
1006964;6661;KW;20150317;
1006965;6662;WU;20150410;
1006702;6663;GG;19920630;
1005519;5482;KW;20121123;
1006415;6180;GG;20130705;
1001045;1878;GG;20050623;
1003948;4197;WU;20101008;20150401
1004198;4425;WU;20101222;20150401
1006966;6664;WV;20150415;
1006967;6665;OH;20150414;
1006117;5935;KW;20130718;
1006943;6641;OH;20150327;
1006944;6642;WU;20150401;
1006945;6643;WU;20150401;
1006947;6644;WU;20150401;
1006948;6645;WU;20150401;
1006949;6646;WU;20150401;
1006946;6647;WU;20150401;
1006950;6648;HV;20150402;
1006951;6649;HV;20150402;
1006952;6650;HV;20150402;
1006954;6651;HV;20150402;
1006955;6652;HV;20150402;
1006956;6653;HV;20150402;
1006957;6654;HV;20150402;
1006958;6655;HV;20150402;
1006959;6656;HV;20150402;
1006960;6657;WU;20150401;
1006961;6658;KW;20101008;
1006962;6659;WU;20150401;
1006432;6188;KW;20131113;
1000097;615;KW;20080612;
1000573;31;KW;20070717;
1006251;6040;KW;20090813;
1001832;1607;HV;19570524;20150402
1001833;1608;HV;20030623;20150402
1001834;1609;HV;20030121;20150402
1006968;6666;WU;20150422;
1006969;6667;WV;20150421;
1006970;6668;OS;20150415;
1006971;6669;OH;20150428;
1006972;6670;OH;20150428;
1006194;5999;OH;20130723;20150429
1006973;6671;OH;20150429;
1006974;6672;WU;20150429;
