3630001024868|POLYGON ((121911.673875592 486369.191055207, 121911.601875601 486368.350055289, 121911.6188756 486367.454055382, 121911.73187559 486366.66905546, 121911.956875569 486365.75505555, 121917.256875066 486348.626057273, 121917.677875025 486347.827057353, 121918.205874973 486347.225057415, 121918.53987494 486347.001057437, 121919.022874892 486346.904057448, 121919.534874841 486346.789057461, 121919.957874798 486346.839057455, 121920.202874774 486346.887057452, 121920.43687475 486346.98705744, 121920.808874713 486347.184057422, 121921.171874676 486347.569057384, 121921.510874642 486347.920057349, 121921.659874626 486348.294057313, 121921.755874615 486349.08805723, 121921.651874624 486349.986057143, 121916.351875128 486367.11405542, 121916.020875159 486367.996055334, 121915.670875193 486368.708055262, 121915.178875241 486369.456055186, 121914.644875294 486370.111055116, 121914.151875342 486370.615055066, 121913.692875387 486370.992055028, 121913.034875452 486371.471054979, 121912.487875507 486371.821054944, 121912.233875533 486371.223055006, 121911.961875561 486370.456055081, 121911.795875579 486369.886055134, 121911.673875592 486369.191055207))
3630001024872|POLYGON ((121933.911873445 486320.189060141, 121936.517873183 486320.950060068, 121936.047873221 486326.592059505, 121929.734873823 486345.397057614, 121928.727873922 486346.741057479, 121925.704874225 486345.80005757, 121925.704874228 486343.920057756, 121931.144873713 486325.383059618, 121933.911873445 486320.189060141))
3630001024874|POLYGON ((121939.950872877 486296.540062515, 121933.298873511 486317.087060452, 121928.915873951 486315.668060586, 121935.567873318 486295.121062651, 121939.950872877 486296.540062515))
3630001024875|POLYGON ((121981.661868918 486160.548076178, 121976.213869432 486180.359074188, 121970.75586998 486178.85807433, 121976.203869466 486159.046076323, 121981.661868918 486160.548076178))
3630001025196|POLYGON ((121096.677954366 488121.945878667, 121106.588953389 488113.076879571, 121107.592953289 488112.927879586, 121109.264953119 488114.777879404, 121109.090953134 488116.402879243, 121099.213954108 488124.844878383, 121097.801954249 488124.867878377, 121096.479954384 488123.456878519, 121096.677954366 488121.945878667))
3630001025205|POLYGON ((121101.453953852 488145.764876295, 121101.215953876 488145.239876346, 121101.234953876 488144.216876448, 121101.407953859 488143.772876492, 121101.973953804 488142.878876583, 121102.824953721 488141.903876684, 121111.826952833 488133.558877532, 121114.346952577 488136.442877245, 121105.407953458 488144.689876406, 121104.37095356 488145.464876328, 121103.437953653 488145.961876276, 121102.980953698 488146.100876267, 121101.959953801 488146.041876268, 121101.453953852 488145.764876295))
3630001025297|POLYGON ((121736.774893115 486348.069057045, 121736.664893126 486347.574057096, 121736.711893122 486347.165057136, 121736.758893118 486346.928057162, 121736.854893109 486346.701057183, 121737.04389309 486346.341057222, 121737.412893054 486345.989057256, 121737.749893021 486345.659057287, 121738.108892985 486345.513057305, 121738.869892909 486345.416057314, 121739.729892823 486345.513057307, 121756.148891173 486350.55305683, 121756.993891088 486350.8680568, 121757.67489102 486351.204056764, 121758.392890947 486351.675056719, 121759.019890884 486352.18905667, 121759.501890835 486352.662056621, 121759.863890798 486353.104056578, 121760.322890751 486353.738056514, 121760.657890717 486354.265056465, 121760.084890774 486354.513056437, 121759.348890847 486354.781056414, 121758.801890901 486354.943056396, 121758.136890968 486355.064056382, 121757.329891048 486355.138056373, 121756.470891134 486355.125056371, 121755.718891209 486355.02105638, 121754.842891297 486354.8070564, 121738.423892947 486349.767056881, 121737.657893024 486349.364056918, 121737.081893083 486348.857056968, 121736.866893105 486348.535057002, 121736.774893115 486348.069057045))
3630001028467|POLYGON ((125829.532498648 476803.520017863, 125850.190496585 476802.218018023, 125850.46849655 476806.627017584, 125829.809498614 476807.929017422, 125829.532498648 476803.520017863))
3630013636267|POLYGON ((120405.671690207 490139.639371395, 120424.791619889 490144.913834756, 120425.074180426 490144.537087373, 120427.240477878 490145.102208447, 120427.240477878 490145.761516367, 120446.172033868 490151.130166574, 120423.755564586 490229.776182753, 120411.228714105 490226.385456307, 120410.757779877 490227.515698455, 120398.513489932 490224.124972009, 120398.325116241 490224.501719392, 120397.100687247 490224.030785164, 120397.47743463 490222.523795632, 120383.349407771 490218.285387574, 120405.671690207 490139.639371395))
3630021495742|POLYGON ((122763.220177 486837.126317, 122762.257177 486837.603317, 122761.404177 486837.915317, 122760.393177 486838.132317, 122759.416177 486838.229317, 122757.889177 486838.154317, 122756.172177 486837.807317, 122756.722177 486836.144317, 122757.413177 486834.781317, 122757.982177 486833.980317, 122758.672177 486833.210317, 122759.365177 486832.624317, 122760.257177 486832.024317, 122777.961177 486821.744317, 122778.945177 486821.418317, 122779.876177 486821.361317, 122780.349177 486821.463317, 122781.410177 486822.163317, 122781.943177 486822.843317, 122782.270177 486823.643317, 122782.352177 486824.911317, 122782.205177 486825.372317, 122781.694177 486826.153317, 122780.924177 486826.846317, 122763.220177 486837.126317))
