3630001002936|POLYGON ((115516.455513354 487492.98893288, 115496.375515357 487496.383932511, 115495.125515494 487488.95793325, 115494.24451559 487483.598933785, 115514.290513591 487480.204934157, 115516.455513354 487492.98893288))
3630001002937|POLYGON ((115518.593513121 487505.619931621, 115498.517515123 487509.018931251, 115497.677515215 487504.109931739, 115496.375515357 487496.383932511, 115516.455513354 487492.98893288, 115518.593513121 487505.619931621))
3630001018908|POLYGON ((119369.877126604 488403.452847835, 119369.391126655 488402.10684797, 119368.85612671 488400.778848099, 119368.27412677 488399.471848227, 119367.646126835 488398.18484836, 119366.972126905 488396.922848485, 119366.254126978 488395.684848604, 119374.86912614 488380.976850089, 119376.060126018 488382.343849957, 119379.717125646 488386.654849526, 119369.877126604 488403.452847835))
3630001003699|POLYGON ((115574.243513006 484006.088281656, 115561.932514238 484005.941281651, 115562.12551425 483985.752283671, 115562.149514252 483982.722283978, 115567.654513702 483982.765283979, 115574.46751302 483982.86428398, 115574.436513019 483985.886283678, 115574.243513006 484006.088281656))
3630001012162|POLYGON ((120358.954020952 492742.136415521, 120356.039021247 492740.234415708, 120354.683021384 492739.325415797, 120356.140021241 492737.156416017, 120348.398022024 492732.077416513, 120352.53302162 492725.686417157, 120364.773020383 492733.744416371, 120359.125020935 492742.248415512, 120358.954020952 492742.136415521))
3630001012164|POLYGON ((120336.430023199 492745.432415157, 120337.857023055 492746.386415064, 120350.653021763 492754.847414237, 120347.963022025 492758.913413828, 120342.514022557 492767.247412985, 120328.258023997 492757.870413899, 120333.76402346 492749.513414745, 120336.430023199 492745.432415157))
3630001012171|POLYGON ((120306.749026202 492723.296417324, 120294.911027371 492732.566416383, 120284.486028434 492719.149417707, 120292.416027651 492712.93641834, 120296.288027269 492709.929418646, 120306.749026202 492723.296417324))
3630001012490|POLYGON ((117247.9043418 486473.52703752, 117227.192343871 486473.381037504, 117227.308343875 486463.273038515, 117248.043341802 486463.390038535, 117247.960341802 486468.353038036, 117247.9043418 486473.52703752))
3630001012506|POLYGON ((117246.959341759 486560.253028846, 117226.202343835 486559.857028852, 117226.343343841 486547.503030088, 117247.095341765 486547.863030084, 117246.959341759 486560.253028846))
3630001012508|POLYGON ((117246.654341743 486590.422025828, 117225.866343822 486590.133025829, 117225.972343827 486580.385026801, 117242.981342125 486580.609026804, 117246.761341747 486580.647026807, 117246.654341743 486590.422025828))
3630001012509|POLYGON ((117246.535341738 486601.284024742, 117225.747343817 486600.964024743, 117225.866343822 486590.133025829, 117246.654341743 486590.422025828, 117246.535341738 486601.284024742))
3630001017486|POLYGON ((126153.552452768 485495.199149191, 126147.822453366 485479.088150792, 126157.052452448 485475.974151118, 126163.120451817 485491.748149546, 126153.552452768 485495.199149191))
3630001017492|POLYGON ((126210.126447187 485445.694154225, 126193.118448879 485451.586153612, 126189.728449233 485441.829154583, 126206.512447564 485436.038155186, 126206.849447529 485436.489155142, 126210.126447187 485445.694154225))
3630001017494|POLYGON ((126216.551446517 485463.738152433, 126199.404448222 485469.678151811, 126196.305448546 485460.759152698, 126213.383446848 485454.842153317, 126216.551446517 485463.738152433))
3630001018898|POLYGON ((119357.830127714 488463.931841769, 119371.484126337 488471.545841029, 119369.266126553 488475.39284064, 119367.824126694 488477.587840419, 119355.993127887 488470.990841057, 119356.428127846 488469.219841234, 119356.879127804 488467.452841413, 119357.34712776 488465.689841594, 119357.830127714 488463.931841769))
3630001018904|POLYGON ((119386.694124879 488431.207845084, 119384.242125114 488438.055844396, 119369.664126584 488429.925845187, 119370.141126539 488428.518845328, 119370.565126498 488427.095845471, 119370.936126463 488425.656845615, 119371.253126434 488424.205845761, 119371.51712641 488422.743845907, 119386.694124879 488431.207845084))
3630001018936|POLYGON ((119341.98612956 488296.187858518, 119337.382130028 488290.869859043, 119345.049129285 488276.119860529, 119349.636128818 488281.470860002, 119341.98612956 488296.187858518))
3630001018942|POLYGON ((119371.0631266 488330.024855176, 119366.595127054 488324.822855691, 119374.75512626 488311.196857068, 119379.161125811 488316.501856541, 119371.0631266 488330.024855176))
3630001018945|POLYGON ((119395.923124103 488336.681854549, 119382.641125415 488347.375853463, 119381.452125542 488342.118853984, 119381.190125568 488341.813854017, 119389.148124793 488328.525855355, 119395.923124103 488336.681854549))
3630001018948|POLYGON ((119403.577123292 488365.875851642, 119387.492124896 488368.906851316, 119386.901124959 488366.215851583, 119385.547125104 488360.226852181, 119401.668123497 488357.189852509, 119403.577123292 488365.875851642))
3630001018949|POLYGON ((119405.540123082 488374.811850752, 119389.454124686 488377.842850426, 119387.492124896 488368.906851316, 119403.577123292 488365.875851642, 119405.540123082 488374.811850752))
3630001018953|POLYGON ((119411.394122455 488401.54784809, 119395.338124056 488404.572847762, 119394.731124121 488401.877848029, 119393.376124266 488395.705848643, 119409.455122663 488392.676848974, 119411.394122455 488401.54784809))
3630013344232|POLYGON ((129192.762101 484016.912414, 129190.501318 484015.84524, 129193.489406 484009.515048, 129195.750189 484010.582222, 129192.762101 484016.912414))
3630001018961|POLYGON ((119420.777121451 488443.997843857, 119404.888123035 488446.991843536, 119402.863123252 488437.994844429, 119418.745121668 488435.002844755, 119420.777121451 488443.997843857))
3630001018978|POLYGON ((119408.990122531 488507.667837473, 119398.798123553 488505.428837684, 119395.149123944 488488.79083934, 119405.315122924 488490.903839145, 119408.990122531 488507.667837473))
