BRK_ATG_ID;ATG_AARDAANTEKENING_CODE;ATG_AARDAANTEKENING_OMS;ATG_OMSCHRIJVING;ATG_EINDDATUM;BRK_SDL_ID;ATG_TYPE;BRK_KOT_ID;KOT_KADASTRALEGEMCODE_CODE;KOT_SECTIE;KOT_PERCEELNUMMER;KOT_INDEX_LETTER;KOT_INDEX_NUMMER;BRK_TNG_ID;ZRT_AARD_ZAKELIJKRECHT_CODE;ZRT_AARD_ZAKELIJKRECHT_OMS;BRK_SJT_ID
NL.KAD.Aantekening.AKR1.100000007254345;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000005227665;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.12000343210052;Amstelveen;M;3432;A;52;;;;
NL.KAD.Aantekening.AKR1.100000006334340;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000004948762;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.12020621110043;Amstelveen;O;6211;A;43;;;;
NL.KAD.Aantekening.AKR1.100000007260719;67;Kwalitatieve verplichting;;;NL.KAD.Stukdeel.AKR1.100000003168329;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14050598870000;Sloten Noord-Holland;G;5988;G;0;;;;
NL.KAD.Aantekening.AKR1.398442;99;Met aandeel in mandelig perceel;;;NL.KAD.Stukdeel.AKR1.2325864;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070429270000;Sloten Noord-Holland;I;4292;G;0;;;;NL.KAD.Persoon.172203143
NL.KAD.Aantekening.AKR1.100000006174316;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000004902337;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070301810061;Sloten Noord-Holland;I;3018;A;61;;;;
NL.KAD.Aantekening.AKR1.100000006174376;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000004902339;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070389610330;Sloten Noord-Holland;I;3896;A;330;;;;
NL.KAD.Aantekening.AKR1.100000004540376;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000003909786;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070419070000;Sloten Noord-Holland;I;4190;G;0;;;;
NL.KAD.Aantekening.AKR1.303410;67;Kwalitatieve verplichting;;;NL.KAD.Stukdeel.AKR1.1783981;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070398010138;Sloten Noord-Holland;I;3980;A;138;;;;
NL.KAD.Aantekening.AKR1.100000000970989;99;Met aandeel in mandelig perceel;;;NL.KAD.Stukdeel.AKR1.100000000887615;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070555970000;Sloten Noord-Holland;I;5559;G;0;;;;NL.KAD.Persoon.322076917
NL.KAD.Aantekening.AKR1.100000008597766;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000007137896;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14070565710108;Sloten Noord-Holland;I;5657;A;108;;;;
NL.KAD.Aantekening.AKR1.100000006690320;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000005085278;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14090323110004;Sloten Noord-Holland;L;3231;A;4;;;;
NL.KAD.Aantekening.AKR1.100000006854767;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000005142403;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14100153610011;Sloten Noord-Holland;M;1536;A;11;;;;
NL.KAD.Aantekening.AKR1.100000006147634;71;Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen;;;NL.KAD.Stukdeel.AKR1.100000004894883;Aantekening Kadastraal object (O);NL.KAD.OnroerendeZaak.14090268910021;Sloten Noord-Holland;L;2689;A;21;;;;
