0363010000713462;0700;onderwijsfunctie;nan;nan
0363010000639502;0900;overige gebruiksfunctie;nan;nan
0363010000722665;1500;kantoorfunctie;nan;nan
0363010000714406;0700;onderwijsfunctie;nan;nan
0363010000722665;1000;woonfunctie;1010;BEST-woning
0363010000837044;1000;woonfunctie;1011;BEST-bejaarden/aanleunwoning
0363010000644015;1100;bijeenkomstfunctie;nan;nan
0363010000713462;1100;bijeenkomstfunctie;nan;nan
0363010000716895;1000;woonfunctie;1010;BEST-woning
0363010000722665;1000;woonfunctie;1010;BEST-woning
0363010000712887;1000;woonfunctie;1010;BEST-woning
0363010000626750;1000;woonfunctie;1010;BEST-woning
0363010000712887;1000;woonfunctie;1010;BEST-woning
0363010000716895;0800;winkelfunctie;nan;nan
